nation,worldCupYear,playerName,playerId,jerseyNumber,rating,position,attack,defense,isLegendary
ARG,1978,Kempes,mario-kempes,10,92,ST/LW/CM,92,41,true
ARG,1978,Killer,daniel-killer,11,71,CB/RB,9,71,false
ARG,1978,Larrosa,omar-larrosa,12,74,CM/LM,33,33,false
ARG,1978,La Volpe,ricardo-la-volpe,13,69,GK,0,69,false
ARG,1978,Luque,leopoldo-luque,14,84,ST/RW,84,10,false
ARG,1978,Olguín,jorge-olguin,15,79,RB/RM,36,79,false
ARG,1978,Ortiz,oscar-ortiz,16,77,LW/ST/LM,77,35,false
ARG,1978,Oviedo,miguel-oviedo,17,72,LB/CB,9,72,false
ARG,1978,Pagnanini,ruben-pagnanini,18,71,RB/CB,9,71,false
ARG,1978,Passarella,daniel-passarella,19,89,CB,11,89,false
ARG,1978,Tarantini,alberto-tarantini,20,81,LB/CB,10,81,false
ARG,1978,Valencia,jose-daniel-valencia,21,78,CM/LM/RM,35,35,false
ARG,1978,Villa,ricardo-villa,22,76,CM/RM,34,34,false
ARG,1982,Ardiles,osvaldo-ardiles,1,87,CM,39,39,false
ARG,1982,Baley,hector-baley,2,72,GK,0,72,false
ARG,1982,Barbas,juan-barbas,3,73,RW/CM,73,33,false
ARG,1982,Bertoni,daniel-bertoni,4,80,RW/ST,80,10,false
ARG,1982,Calderón,gabriel-calderon,5,76,CM/RW,76,34,false
ARG,1982,R. Díaz,ramon-diaz,6,82,ST,82,10,false
ARG,1982,Fillol,ubaldo-fillol,7,88,GK,0,88,true
ARG,1982,Galván,luis-galvan,8,78,CB,9,78,false
ARG,1982,Gallego,americo-gallego,9,77,CM,35,35,false
ARG,1982,Maradona,diego-maradona,10,95,CM/LW,95,43,true
ARG,1982,Kempes,mario-kempes,11,88,ST,88,11,true
ARG,1982,Hernández,patricio-hernandez,12,74,LM/CM,33,33,false
ARG,1982,Olarticoechea,julio-olarticoechea,13,74,LB/CB,9,74,false
ARG,1982,Olguín,jorge-olguin,14,77,RB,9,77,false
ARG,1982,Passarella,daniel-passarella,15,90,CB,11,90,true
ARG,1982,Pumpido,nery-pumpido,16,74,GK,0,74,false
ARG,1982,Santamaría,santiago-santamaria,17,73,ST/LW,73,9,false
ARG,1982,Tarantini,alberto-tarantini,18,78,LB,9,78,false
ARG,1982,Trossero,enzo-trossero,19,73,CB,9,73,false
ARG,1982,Valdano,jorge-valdano,20,83,ST,83,10,false
ARG,1982,Valencia,jose-daniel-valencia,21,74,CM/RM,33,33,false
ARG,1982,Van Tuyne,jose-van-tuyne,22,72,CB/RB,9,72,false
ARG,1986,Almirón,sergio-almiron,1,70,ST/RW,70,8,false
ARG,1986,Batista,sergio-batista,2,82,CM,37,37,false
ARG,1986,Bochini,ricardo-bochini,3,75,CM/LM,34,34,false
ARG,1986,Borghi,claudio-borghi,4,74,CM/RM,33,33,false
ARG,1986,Brown,jose-luis-brown,5,80,CB,10,80,false
ARG,1986,Passarella,daniel-passarella,6,82,CB,10,82,false
ARG,1986,Burruchaga,jorge-burruchaga,7,85,CM/RM/RW,85,38,false
ARG,1986,Clausen,nestor-clausen,8,75,RB/RM,34,75,false
ARG,1986,Cuciuffo,jose-luis-cuciuffo,9,76,CB/RB,9,76,false
ARG,1986,Maradona,diego-maradona,10,99,CM/LW/ST,99,45,true
ARG,1986,Valdano,jorge-valdano,11,85,ST/LW,85,10,false
ARG,1986,Enrique,hector-enrique,12,76,CM/RM,34,34,false
ARG,1986,Garré,oscar-garre,13,75,LB/LM,34,75,false
ARG,1986,Giusti,ricardo-giusti,14,80,CM/RM,36,36,false
ARG,1986,Islas,luis-islas,15,70,GK,0,70,false
ARG,1986,Olarticoechea,julio-olarticoechea,16,78,LB/LM,35,78,false
ARG,1986,Pasculli,pedro-pasculli,17,76,ST/RW,76,9,false
ARG,1986,Pumpido,nery-pumpido,18,81,GK,0,81,false
ARG,1986,Ruggeri,oscar-ruggeri,19,83,CB,10,83,false
ARG,1986,Tapia,carlos-tapia,20,72,CM/LM,32,32,false
ARG,1986,Trobbiani,marcelo-trobbiani,21,71,CM/RM,32,32,false
ARG,1986,Zelada,hector-zelada,22,68,GK,0,68,false
ARG,1990,Pumpido,nery-pumpido,1,79,GK,0,79,false
ARG,1990,Batista,sergio-batista,2,80,CM,36,36,false
ARG,1990,Balbo,abel-balbo,3,77,ST/RW,77,9,false
ARG,1990,Basualdo,jose-basualdo,4,77,RM/CM,35,35,false
ARG,1990,Bauza,edgardo-bauza,5,74,CB,9,74,false
ARG,1990,Calderón,gabriel-calderon,6,76,LM/CM,34,34,false
ARG,1990,Burruchaga,jorge-burruchaga,7,81,RM/CM,36,36,false
ARG,1990,Caniggia,claudio-caniggia,8,84,RW/ST/LW,84,10,false
ARG,1990,Dezotti,gustavo-dezotti,9,72,ST/LW,72,9,false
ARG,1990,Maradona,diego-maradona,10,92,CM/LW/ST,92,41,true
ARG,1990,Fabbri,nestor-fabbri,11,73,CB/RB,9,73,false
ARG,1990,Goycochea,sergio-goycochea,12,83,GK,0,83,false
ARG,1990,Lorenzo,nestor-lorenzo,13,73,CB/LB,9,73,false
ARG,1990,Giusti,ricardo-giusti,14,78,RM/CM,35,35,false
ARG,1990,Monzón,pedro-monzon,15,73,LB/CB,9,73,false
ARG,1990,Olarticoechea,julio-olarticoechea,16,76,LB/LM,34,76,false
ARG,1990,Sensini,roberto-sensini,17,78,CB/RB,9,78,false
ARG,1990,Serrizuela,jose-serrizuela,18,74,RB/CB,9,74,false
ARG,1990,Ruggeri,oscar-ruggeri,19,83,CB,10,83,false
ARG,1990,Simón,juan-simon,20,76,CB/LB,9,76,false
ARG,1990,Troglio,pedro-troglio,21,75,RM/CM,34,34,false
ARG,1990,Cancelarich,fabian-cancelarich,22,66,GK,0,66,false
ARG,1994,Goycochea,sergio-goycochea,1,83,GK,0,83,false
ARG,1994,Vázquez,sergio-vazquez,2,72,RB/CB,9,72,false
ARG,1994,Chamot,jose-chamot,3,81,LB/CB,10,81,false
ARG,1994,Sensini,roberto-sensini,4,82,CB/RB,10,82,false
ARG,1994,Redondo,fernando-redondo,5,88,CM,40,40,false
ARG,1994,Ruggeri,oscar-ruggeri,6,82,CB,10,82,false
ARG,1994,Caniggia,claudio-caniggia,7,87,ST/LW,87,10,false
ARG,1994,Basualdo,jose-basualdo,8,74,CM/LM,33,33,false
ARG,1994,Batistuta,gabriel-batistuta,9,92,ST,92,11,true
ARG,1994,Maradona,diego-maradona,10,92,CM/RW,92,41,true
ARG,1994,Medina Bello,ramon-medina-bello,11,72,LW/ST,72,9,false
ARG,1994,Islas,luis-islas,12,78,GK,0,78,false
ARG,1994,Cáceres,fernando-caceres,13,73,CB/RB,9,73,false
ARG,1994,Simeone,diego-simeone,14,86,CM/RM,39,39,false
ARG,1994,Borelli,jorge-borelli,15,72,CB/RB,9,72,false
ARG,1994,H. Díaz,hernan-diaz,16,73,CB/LB,9,73,false
ARG,1994,Ortega,ariel-ortega,17,83,CM/RW,83,37,false
ARG,1994,Hugo Pérez,hugo-perez,18,73,CM/LM,33,33,false
ARG,1994,Balbo,abel-balbo,19,79,ST/LW,79,9,false
ARG,1994,L. Rodríguez,leonardo-rodriguez,20,75,CM/RM,34,34,false
ARG,1994,Mancuso,alejandro-mancuso,21,70,CM/RW,70,32,false
ARG,1994,Scoponi,norberto-scoponi,22,70,GK,0,70,false
ARG,1998,Roa,carlos-roa,1,82,GK,0,82,false
ARG,1998,Ayala,roberto-ayala,2,86,CB,10,86,false
ARG,1998,Chamot,jose-chamot,3,82,CB/LB,10,82,false
ARG,1998,Pineda,mauricio-pineda,4,74,CB/RB,9,74,false
ARG,1998,Almeyda,matias-almeyda,5,82,CM,37,37,false
ARG,1998,Sensini,roberto-sensini,6,80,CB/RB,10,80,false
ARG,1998,C. López,claudio-lopez,7,83,ST/LW,83,10,false
ARG,1998,Simeone,diego-simeone,8,85,CM/RM,38,38,false
ARG,1998,Batistuta,gabriel-batistuta,9,92,ST,92,11,true
ARG,1998,Ortega,ariel-ortega,10,86,CM/RW,86,39,false
ARG,1998,Verón,juan-sebastian-veron,11,88,CM,40,40,true
ARG,1998,Burgos,german-burgos,12,76,GK,0,76,false
ARG,1998,Paz,pablo-paz,13,74,CB/RB,9,74,false
ARG,1998,Vivas,nelson-vivas,14,77,RB/RM,35,77,false
ARG,1998,Astrada,leonardo-astrada,15,76,CM/LM,34,34,false
ARG,1998,Berti,sergio-berti,16,75,RW/CM,75,34,false
ARG,1998,Cavallero,pablo-cavallero,17,75,GK,0,75,false
ARG,1998,Balbo,abel-balbo,18,79,ST,79,9,false
ARG,1998,Crespo,hernan-crespo,19,84,ST,84,10,false
ARG,1998,Gallardo,marcelo-gallardo,20,80,CM/LW,80,36,false
ARG,1998,Delgado,marcelo-delgado,21,76,ST/RW,76,9,false
ARG,1998,Zanetti,javier-zanetti,22,88,RB/RM,40,88,true
ARG,2002,Burgos,german-burgos,1,76,GK,0,76,false
ARG,2002,Ayala,roberto-ayala,2,86,CB,10,86,false
ARG,2002,Sorín,juan-pablo-sorin,3,83,LB,10,83,false
ARG,2002,Pochettino,mauricio-pochettino,4,78,CB,9,78,false
ARG,2002,Almeyda,matias-almeyda,5,78,CM/RM,35,35,false
ARG,2002,Samuel,walter-samuel,6,84,CB,10,84,false
ARG,2002,Piojo,claudio-lopez,7,81,ST/LW,81,10,false
ARG,2002,Zanetti,javier-zanetti,8,88,RB/RM,40,88,true
ARG,2002,Batistuta,gabriel-batistuta,9,93,ST,93,11,true
ARG,2002,Ortega,ariel-ortega,10,84,CM/RW,84,38,false
ARG,2002,Verón,juan-sebastian-veron,11,90,CM,41,41,true
ARG,2002,Cavallero,pablo-cavallero,12,80,GK,0,80,false
ARG,2002,Placente,diego-placente,13,74,CB/RB,9,74,false
ARG,2002,Simeone,diego-simeone,14,87,CM,39,39,false
ARG,2002,Husaín,claudio-husain,15,74,CM/LM,33,33,false
ARG,2002,Aimar,pablo-aimar,16,83,CM/LW,83,37,false
ARG,2002,G. López,gustavo-lopez,17,76,CM/RW,76,34,false
ARG,2002,Kily,kily-gonzalez,18,79,CM/LW,79,36,false
ARG,2002,Crespo,hernan-crespo,19,88,ST,88,11,false
ARG,2002,Gallardo,marcelo-gallardo,20,80,CM/LW,80,36,false
ARG,2002,Caniggia,claudio-caniggia,21,85,ST/RW,85,10,false
ARG,2002,Chamot,jose-chamot,22,77,CB/LB,9,77,false
ARG,2002,Bonano,roberto-bonano,23,73,GK,0,73,false
ARG,2006,Abbondanzieri,roberto-abbondanzieri,1,84,GK,0,84,false
ARG,2006,Ayala,roberto-ayala,2,86,CB,10,86,false
ARG,2006,Sorin,juan-pablo-sorin,3,82,LB,10,82,false
ARG,2006,Coloccini,fabricio-coloccini,4,78,CB,9,78,false
ARG,2006,Cambiasso,esteban-cambiasso,5,87,CM,39,39,false
ARG,2006,Heinze,gabriel-heinze,6,85,LB/CB,10,85,false
ARG,2006,Saviola,javier-saviola,7,82,ST/LW,82,10,false
ARG,2006,Mascherano,javier-mascherano,8,86,CM,39,39,false
ARG,2006,Crespo,hernan-crespo,9,86,ST,86,10,false
ARG,2006,Riquelme,juan-roman-riquelme,10,89,CM,40,40,true
ARG,2006,Tevez,carlos-tevez,11,88,ST/LW,88,11,false
ARG,2006,L. Franco,leo-franco,12,78,GK,0,78,false
ARG,2006,Scaloni,lionel-scaloni,13,72,RB/RM,32,72,false
ARG,2006,Palacio,rodrigo-palacio,14,76,ST/RW,76,9,false
ARG,2006,G. Milito,gabriel-milito,15,80,CB,10,80,false
ARG,2006,Aimar,pablo-aimar,16,83,CM/LW,83,37,false
ARG,2006,Cufré,leandro-cufre,17,71,RB/CB,9,71,false
ARG,2006,Maxi R.,maxi-rodriguez,18,84,RM/LW,84,38,false
ARG,2006,Messi,lionel-messi,19,88,LW/RW,88,11,true
ARG,2006,J. Cruz,julio-cruz,20,79,ST,79,9,false
ARG,2006,Burdisso,nicolas-burdisso,21,80,CB/RB,10,80,false
ARG,2006,L. González,lucho-gonzalez,22,80,CM/RM/LM,36,36,false
ARG,2010,Pozo,diego-pozo,1,68,GK,0,68,false
ARG,2010,Demichelis,martin-demichelis,2,82,CB,10,82,false
ARG,2010,C. Rodríguez,clemente-rodriguez,3,75,LB,9,75,false
ARG,2010,Burdisso,nicolas-burdisso,4,78,CB,9,78,false
ARG,2010,Heinze,gabriel-heinze,6,83,LB/CB,10,83,false
ARG,2010,Di María,angel-di-maria,7,86,LW/RW,86,10,false
ARG,2010,Verón,juan-sebastian-veron,8,84,CM,38,38,false
ARG,2010,Higuaín,gonzalo-higuain,9,87,ST,87,10,false
ARG,2010,Messi,lionel-messi,10,93,LW/ST,93,11,true
ARG,2010,Tevez,carlos-tevez,11,88,ST,88,11,false
ARG,2010,Garcé,ariel-garce,12,72,RB/CB,9,72,false
ARG,2010,Samuel,walter-samuel,13,81,CB,10,81,false
ARG,2010,Mascherano,javier-mascherano,14,88,CM/RM,40,40,true
ARG,2010,Otamendi,nicolas-otamendi,15,78,CB,9,78,false
ARG,2010,Agüero,sergio-aguero,16,87,ST/LW,87,10,false
ARG,2010,Gutiérrez,jonas-gutierrez,17,77,RB/RM,35,77,false
ARG,2010,Palermo,martin-palermo,18,78,ST,78,9,false
ARG,2010,Milito,diego-milito,19,83,ST,83,10,false
ARG,2010,Maxi Rodríguez,maxi-rodriguez,20,82,CM/RW,82,37,false
ARG,2010,Andújar,mariano-andujar,21,76,GK,0,76,false
ARG,2010,Romero,sergio-romero,22,82,GK,0,82,false
ARG,2010,Pastore,javier-pastore,23,74,CM/LW/LM,74,33,false
ARG,2014,Romero,sergio-romero,1,80,GK,0,80,false
ARG,2014,Garay,ezequiel-garay,2,82,CB,10,82,false
ARG,2014,Campagnaro,hugo-campagnaro,3,74,CB/RB,9,74,false
ARG,2014,Zabaleta,pablo-zabaleta,4,82,RB/RM,37,82,false
ARG,2014,Gago,fernando-gago,5,78,CM,35,35,false
ARG,2014,Biglia,lucas-biglia,6,79,CM,36,36,false
ARG,2014,Di María,angel-di-maria,7,88,RM/RW/LM,88,40,false
ARG,2014,Enzo Pérez,enzo-perez,8,76,CM/RM,34,34,false
ARG,2014,Higuaín,gonzalo-higuain,9,84,ST,84,10,false
ARG,2014,Messi,lionel-messi,10,96,RW/CM/ST,96,43,true
ARG,2014,Maxi Rodríguez,maxi-rodriguez,11,75,RM/LM/RW,75,34,false
ARG,2014,Orión,agustin-orion,12,70,GK,0,70,false
ARG,2014,A. Fernández,augusto-fernandez,13,74,CM/RM,33,33,false
ARG,2014,Mascherano,javier-mascherano,14,87,CM/CB,39,87,false
ARG,2014,Demichelis,martin-demichelis,15,78,CB,9,78,false
ARG,2014,Rojo,marcos-rojo,16,78,CB/LB,9,78,false
ARG,2014,F. Fernández,federico-fernandez,17,76,CB,9,76,false
ARG,2014,Palacio,rodrigo-palacio,18,77,ST/RW,77,9,false
ARG,2014,R. Álvarez,ricky-alvarez,19,72,CM/LM,32,32,false
ARG,2014,Agüero,sergio-aguero,20,87,ST/LW,87,10,false
ARG,2014,Andújar,mariano-andujar,21,71,GK,0,71,false
ARG,2014,Lavezzi,ezequiel-lavezzi,22,79,LW/RW/ST,79,9,false
ARG,2014,Basanta,jose-maria-basanta,23,73,LB/CB,9,73,false
ARG,2018,Guzmán,nahuel-guzman,1,79,GK,0,79,false
ARG,2018,Mercado,gabriel-mercado,2,78,RB/CB,9,78,false
ARG,2018,Tagliafico,nicolas-tagliafico,3,82,LB,10,82,false
ARG,2018,Ansaldi,cristian-ansaldi,4,76,LB/RB,9,76,false
ARG,2018,Biglia,lucas-biglia,5,80,CM,36,36,false
ARG,2018,Fazio,federico-fazio,6,76,CB,9,76,false
ARG,2018,Banega,ever-banega,7,81,CM/LM,36,36,false
ARG,2018,Higuaín,gonzalo-higuain,9,86,ST,86,10,false
ARG,2018,Messi,lionel-messi,10,97,LW/ST,97,12,true
ARG,2018,Di María,angel-di-maria,11,88,LW/RW,88,11,true
ARG,2018,Armani,franco-armani,12,82,GK,0,82,false
ARG,2018,Meza,maximiliano-meza,13,75,RW/CM,75,34,false
ARG,2018,Mascherano,javier-mascherano,14,85,CB/CM,38,85,false
ARG,2018,E. Pérez,enzo-perez,15,77,CM,35,35,false
ARG,2018,Rojo,marcos-rojo,16,78,CB/LB,9,78,false
ARG,2018,Otamendi,nicolas-otamendi,17,86,CB,10,86,false
ARG,2018,Salvio,eduardo-salvio,18,76,RW/ST/RM,76,34,false
ARG,2018,Agüero,sergio-aguero,19,89,ST,89,11,true
ARG,2018,Lo Celso,giovani-lo-celso,20,78,CM/LW,78,35,false
ARG,2018,Dybala,paulo-dybala,21,85,LW/ST,85,10,false
ARG,2018,Pavón,cristian-pavon,22,77,RW/LW,77,9,false
ARG,2018,Caballero,willy-caballero,23,78,GK,0,78,false
ARG,2022,Armani,franco-armani,1,75,GK,0,75,false
ARG,2022,Foyth,juan-foyth,2,77,RB/CB,9,77,false
ARG,2022,Tagliafico,nicolas-tagliafico,3,79,LB,9,79,false
ARG,2022,Montiel,gonzalo-montiel,4,76,RB/RM,34,76,false
ARG,2022,Paredes,leandro-paredes,5,79,CM,36,36,false
ARG,2022,Pezzella,german-pezzella,6,75,CB,9,75,false
ARG,2022,De Paul,rodrigo-de-paul,7,83,CM/RM,37,37,false
ARG,2022,Acuña,marcos-acuna,8,80,LB/LM,36,80,false
ARG,2022,J. Álvarez,julian-alvarez,9,84,ST/RW,84,10,false
ARG,2022,Messi,lionel-messi,10,95,RW/CM/ST,95,43,true
ARG,2022,Di María,angel-di-maria,11,84,RM/RW/LM,84,38,false
ARG,2022,Rulli,geronimo-rulli,12,72,GK,0,72,false
ARG,2022,C. Romero,cristian-romero,13,84,CB,10,84,false
ARG,2022,Palacios,exequiel-palacios,14,77,CM/RM,35,35,false
ARG,2022,Correa,angel-correa,15,76,RW/ST/LW,76,9,false
ARG,2022,Almada,thiago-almada,16,73,LM/CM/LW,73,33,false
ARG,2022,Papu Gómez,papu-gomez,17,76,LM/CM/LW,76,34,false
ARG,2022,Guido Rodríguez,guido-rodriguez,18,77,CM,35,35,false
ARG,2022,Otamendi,nicolas-otamendi,19,81,CB,10,81,false
ARG,2022,Mac Allister,alexis-mac-allister,20,81,CM/LM,36,36,false
ARG,2022,Dybala,paulo-dybala,21,79,RW/ST/CM,79,36,false
ARG,2022,Lautaro,lautaro-martinez,22,82,ST/LW,82,10,false
ARG,2022,E. Martínez,emiliano-martinez,23,88,GK,0,88,false
ARG,2022,Enzo Fernández,enzo-fernandez,24,82,CM/RM,37,37,false
ARG,2022,L. Martínez,lisandro-martinez,25,80,CB/LB,10,80,false
ARG,2022,Molina,nahuel-molina,26,78,RB/RM,35,78,false
ARG,2026,Musso,juan-musso,1,80,GK,0,80,false
ARG,2026,Balerdi,leonardo-balerdi,2,81,CB/RB,10,81,false
ARG,2026,Tagliafico,nicolas-tagliafico,3,83,LB/LM,37,83,false
ARG,2026,Montiel,gonzalo-montiel,4,81,RB/RM,36,81,false
ARG,2026,Paredes,leandro-paredes,5,83,CM/RM,37,37,false
ARG,2026,L. Martínez,lisandro-martinez,6,85,CB/LB,10,85,false
ARG,2026,De Paul,rodrigo-de-paul,7,85,CM/RM/LM,38,38,false
ARG,2026,Barco,valentin-barco,8,76,LB/LM,34,76,false
ARG,2026,J. Álvarez,julian-alvarez,9,90,ST/LW/CM,90,41,false
ARG,2026,Messi,lionel-messi,10,94,RW/CM/ST,94,42,true
ARG,2026,Lo Celso,giovani-lo-celso,11,81,CM/LM,36,36,false
ARG,2026,Rulli,geronimo-rulli,12,78,GK,0,78,false
ARG,2026,C. Romero,cristian-romero,13,87,CB,10,87,false
ARG,2026,Palacios,exequiel-palacios,14,82,CM/RM,37,37,false
ARG,2026,N. González,nicolas-gonzalez,15,81,LW/RW/ST,81,10,false
ARG,2026,Almada,thiago-almada,16,80,CM/LM/LW,80,36,false
ARG,2026,Simeone,giuliano-simeone,17,78,RW/LW/ST,78,9,false
ARG,2026,Paz,nico-paz,18,80,CM/LM,36,36,false
ARG,2026,Otamendi,nicolas-otamendi,19,82,CB,10,82,false
ARG,2026,Mac Allister,alexis-mac-allister,20,88,CM/RM/LM,40,40,false
ARG,2026,J. M. López,jose-manuel-lopez,21,75,ST/RW,75,9,false
ARG,2026,Lautaro,lautaro-martinez,22,88,ST/LW,88,11,false
ARG,2026,E. Martínez,emiliano-martinez,23,88,GK,0,88,false
ARG,2026,Enzo Fernández,enzo-fernandez,24,87,CM/RM,39,39,false
ARG,2026,Medina,facundo-medina,25,77,CB/LB,9,77,false
ARG,2026,Molina,nahuel-molina,26,81,RB/RM,36,81,false
AUS,2006,Schwarzer,mark-schwarzer,1,81,GK,0,81,false
AUS,2006,Neill,lucas-neill,2,79,CB/RB,9,79,false
AUS,2006,Moore,craig-moore,3,77,CB,9,77,false
AUS,2006,Cahill,tim-cahill,4,83,CM/RM,37,37,false
AUS,2006,Culina,jason-culina,5,76,CM/RM,34,34,false
AUS,2006,Popovic,tony-popovic,6,74,CB,9,74,false
AUS,2006,Emerton,brett-emerton,7,78,RB/RM,35,78,false
AUS,2006,Skoko,josip-skoko,8,73,CM/RM,33,33,false
AUS,2006,Viduka,mark-viduka,9,82,ST,82,10,false
AUS,2006,Kewell,harry-kewell,10,83,LW/LM,83,37,false
AUS,2006,Lazaridis,stan-lazaridis,11,73,LB/LM,33,73,false
AUS,2006,Covic,ante-covic,12,66,GK,0,66,false
AUS,2006,Grella,vince-grella,13,76,CM/RM,34,34,false
AUS,2006,Chipperfield,scott-chipperfield,14,74,LB/LM,33,74,false
AUS,2006,Aloisi,john-aloisi,15,74,ST/LW,74,9,false
AUS,2006,Beauchamp,michael-beauchamp,16,68,CB,8,68,false
AUS,2006,Thompson,archie-thompson,17,69,ST/RW,69,8,false
AUS,2006,Kalac,zeljko-kalac,18,72,GK,0,72,false
AUS,2006,Kennedy,joshua-kennedy,19,71,ST,71,9,false
AUS,2006,Wilkshire,luke-wilkshire,20,71,RB/RM,32,71,false
AUS,2006,Sterjovski,mile-sterjovski,21,72,RW/ST,72,9,false
AUS,2006,Milligan,mark-milligan,22,67,CB/RM,30,67,false
